Ac2O3	Actinium(lll) Oxide	12002-61-8
NiTiO3	Nickel(ii) Metatitanate	
Ni(VO3)2	Nickel(ii) Metavanadate	
NiWO4	Nickel(ii) Orthotungstate	
Ni2SiO4	Nickel(ii) Orthosilicate	
Ni3(PO4)2	Nickel(ii) Orthophosphate	14396-43-1
Ni3Sb2	Nickel(ii) Antimonide	
O	Oxygen	7782-44-7
O2	Dioxygen	7782-44-7
O2	Superoxide Ion	11062-77-4
O2	Peroxide Ion	14915-07-2
OF2	Oxygen Difluoride	7783-41-7
O2F2	Dioxygen Difluoride	7783-44-0
OH	Hydroxide Ion	14280-30-9
O3	Ozone	10028-15-6
O3	Ozonide Ion	12596-80-4
P2I4	Diphosphorus Tetraiodide	13455-00-0
P2O5	Phosphorus Pentoxide	1314-56-3
P2S3	Diphosphorus Trisulfide	12165-69-4
P2Se3	Diphosphorus Triselenide	
P3N5	Triphosphorus Pentanitride	12136-91-3
PH3	Phosphine	7803-51-2
POCl3	Phosphoryl Chloride	10025-87-3
PbCl2	Lead(ii) Chloride	7758-95-4
PbCl4	Lead(iv) Chloride	
PbI2	Lead(ii) Iodide	10101-63-0
Pb(IO3)2	Lead(ii) Iodate	25659-31-8
Pb(N3)2	Lead(ii) Nitride	
Pb(NO3)2	Lead(ii) Nitrate	10099-74-8
Pb(OH)2	Lead(ii) Hydroxide	19783-14-3
Pb(OH)4	Lead(iv) Hydroxide	
PbC2O4	Lead Oxalate	814-93-7
PbCO3	Lead Carbonate	598-63-0
PbCrO4	Lead Chromate	7758-97-6
PbF2	Lead(ii) Fluoride	7783-46-2
PbO	Lead(ii) Oxide	1317-36-8
PbO2	Lead Dioxide	1309-60-0
PbS	Lead(ii) Sulfide	1314-87-0
PbSO4	Lead(ii) Sulfate	7446-14-2
PoBr2	Polonium Dibromide	66794-54-5
PoCl2	Polonium Dichloride	
PoCl4	Polonium Tetrachloride	10026-02-5
PoF6	Polonium Hexafluoride	35473-38-2
PoH2	Polonium Hydride	31060-73-8
PoO	Polonium Monoxide	
PoO2	Polonium Dioxide	7446-06-2
PoO3	Polonium Trioxide	
RaCl2	Radium Chloride	
RbBr	Rubidium Bromide	7789-39-1
RbCl	Rubidium Chloride	7791-11-9
RbClO	Rubidium Hypochlorite	
RbClO2	Rubidium Chlorite	
RbClO3	Rubidium Chlorate	13446-71-4
RbClO4	Rubidium Perchlorate	13510-42-4
RbCN	Rubidium Cyanide	19073-56-4
RbF	Rubidium Fluoride	13446-74-7
RbI	Rubidium Iodide	7790-29-6
RbOH	Rubidium Hydroxide	1310-82-3
Rb2O	Rubidium Oxide	18088-11-4
Rb2O2	Rubidium Peroxide	
Rb2CO3	Rubidium Carbonate	584-09-8
Rb2SO3	Rubidium Sulfite	
Rb2SO4	Rubidium Sulfate	7488-54-2
RbHCO3	Rubidium Bicarbonate	
RbHSO3	Rubidium Bisulfite	
RbHSO4	Rubidium Bisulfate	15587-72-1
RbNO2	Rubidium Nitrite	
RbNO3	Rubidium Nitrate	13126-12-0
RnF2	Radon Difluoride	
RuCl3	Ruthenium(iii) Chloride	10049-08-8
RuF6	Ruthenium Hexafluoride	13693-08-8
RuO4	Ruthenium Tetroxide	20427-56-9
SCN	Thiocyanate	302-04-5
SF4	Sulfur Tetrafluoride	7783-60-0
SF6	Sulfur Hexafluoride	2551-62-4
SOF2	Thionyl Difluoride	7783-42-8
SO2	Sulfur Dioxide	7446-09-5
SO2Cl2	Sulfuryl Chloride	7791-25-5
SO2F2	Sulfuryl Difluoride	2699-79-8
SO2OOH	Peroxymonosulfurous Acid (Aqueous)	
SO3	Sulfur Trioxide	7446-11-9
SO3	Sulfite Ion	14265-45-3
SO4	Sulfate Ion	14808-79-8
S2Br2	Sulfur(ii) Bromide	71677-14-0
S2O3	Thiosulfate Ion	14383-50-7
S2O7	Disulfate Ion	16057-15-1
SbBr3	Antimony(iii) Bromide	7789-61-9
SbCl3	Antimony(iii) Chloride	10025-91-9
SbCl5	Antimony(v) Chloride	7647-18-9
SbI3	Antimony(iii) Iodide	7790-44-5
SbPO4	Antimony(iii) Phosphate	
Sb2OS2	Antimony Oxysulfide|Kermesite	12196-78-0
Sb2O3	Antimony(iii) Oxide	1309-64-4
Sb2O5	Antimony(v) Oxide	1314-60-9
Sb2S3	Antimony(iii) Sulfide	1345-04-6
Sb2Se3	Antimony(iii) Selenide	1315-05-5
Sb2Se5	Antimony(v) Selenide	
Sb2Te3	Antimony(iii) Telluride	
Sc2O3	Scandium Oxide|Scandia	12060-08-1
SeBr4	Selenium(iv) Bromide	7789-65-3
SeCl	Selenium(i) Chloride	
SeCl4	Selenium(iv) Chloride	10026-03-6
SeOCl2	Selenium(iv) Oxychloride	7791-23-3
SeOF2	Selenyl Difluoride	7783-43-9
SeO2	Selenium(iv) Oxide	7446-08-4
SeO4	Selenate Ion	14124-68-6
SeTe	Selenium(iv) Telluride	12067-42-4
SiBr4	Silicon(iv) Bromide	7789-66-4
SiC	Silicon Carbide	409-21-2
SiCl4	Silicon(iv) Chloride	10026-04-7
SiH4	Silane	7803-62-5
SiI4	Silicon(iv) Iodide	13465-84-4
SiO2	Silicon(iv) Dioxide|Silica|Quartz	7631-86-9
SiO4	Silicate Ion	17181-37-2
Si2O7	Disilicate Ion	
Si3N4	Silicon Nitride	12033-89-5
Si6O18	Cyclosilicate Ion	
SnBrCl3	Tin(iv) Bromotrichloride	
SnBr2	Tin(ii) Bromide	10031-24-0
SnBr2Cl2	Tin(iv) Dibromodichloride	
SnBr3Cl	Tin(iv) Tribromochloride	14779-73-8
SnBr4	Tin(iv) Bromide	7789-67-5
Sn(CH3COO)2	Tin(ii) Acetate	
Sn(CH3COO)4	Tin(iv) Acetate	
SnCl2	Tin(ii) Chloride	7772-99-8
SnCl2I2	Tin(iv) Dichlorodiiodide	
SnCl4	Tin(iv) Chloride	7646-78-8
Sn(CrO4)2	Tin(iv) Chromate	10101-75-4
SnI4	Tin(iv) Iodide	7790-47-8
Sn(OH)2	Tin(ii) Hydroxide	
Sn(OH)4	Tin(iv) Hydroxide	
SnO	Tin(ii) Oxide	
SnO2	Tin(iv) Oxide	18282-10-5
SnO3	Stannate Ion	
SnS	Tin(ii) Sulfide	1314-95-0
SnS2	Tin(iv) Sulfide	1315-01-1
Sn(SO4)2 2H2O	Tin(iv) Sulfate Dihydrate	
SnSe	Tin(ii) Selenide	1315-06-6
SnSe2	Tin(iv) Selenide	20770-09-6
SnTe	Tin(ii) Telluride	12040-02-7
SnTe4	Tin(iv) Telluride	
Sn(VO3)2	Tin(ii) Metavanadate	
Sn3Sb4	Tin(iv) Antimonide	
SrBr2	Strontium Bromide	10476-81-0
SrBr2 6H2O	Strontium Bromide Hexahydrate	7789-53-9
SrCO3	Strontium Carbonate	1633-05-2
SrCl2	Strontium Chloride	10476-85-4
SrC2O4	Strontium Oxalate	814-95-9
SrF2	Strontium Fluoride	7783-48-4
SrI2	Strontium Iodide	10476-86-5
SrI2 6H2O	Strontium Iodide Hexahydrate	7790-40-1
Sr(MnO4)2	Strontium Permanganate	
SrMoO4	Strontium Orthomolybdate	13470-04-7
Sr(NbO3)2	Strontium Metaniobate	
SrO	Strontium Oxide	1314-11-0
Sr2RuO4	Strontium Ruthenate	
SrS	Strontium Sulfide	1314-96-1
SrSeO3	Strontium Selenite	14590-38-6
SrSeO4	Strontium Selenate	7446-21-1
SrTeO3	Strontium Tellurite	15851-40-8
SrTeO4	Strontium Tellurate	15852-10-5
SrTiO3	Strontium Metatitanate	
TaBr3	Tantalum(iii) Bromide	
TaBr5	Tantalum(v) Bromide	13451-11-1
TaCl5	Tantalum(v) Chloride	7721-01-9
TaI5	Tantalum(v) Iodide	14693-81-3
TaO3	Tantalate Ion	
TcO4	Pertechnetate Ion	14333-20-1
TeBr2	Tellurium(ii) Bromide	7789-54-0
TeBr4	Tellurium(iv) Bromide	10031-27-3
TeCl2	Tellurium(ii) Chloride	10025-71-5
TeCl4	Tellurium(iv) Chloride	10026-07-0
TeI2	Tellurium(ii) Iodide	
TeI4	Tellurium(iv) Iodide	7790-48-9
TeO2	Tellurium(iv) Oxide	7446-07-3
TeO4	Tellurate Ion	15852-22-9
TeY	Yttrium Telluride	12187-04-1
Th(CO3)2	Thorium Carbonate	19024-62-5
Th(NO3)4	Thorium Nitrate	13823-29-5
TiBr4	Titanium(iv) Bromide	7789-68-6
TiCl2I2	Titanium(iv) Dichlorodiiodide	
TiCl3I	Titanium(iv) Trichloroiodide	
TiCl4	Titanium Tetrachloride	7550-45-0
TiO2	Titanium Dioxide|Rutile	1317-70-0
TiO3	Titanate Ion	
TlBr	Thallium(i) Bromide	7789-40-4
TlBr3	Thallium(iii) Bromide	13701-90-1
Tl(CHO2)	Thallium(i) Formate	992-98-3
TlC2H3O2	Thallium(i) Acetate	563-68-8
Tl(C3H3O4)	Thalliium(i) Malonate	2757-18-8
TlCl	Thallium(i) Chloride	7791-12-0
TlCl3	Thallium(iii) Chloride	13453-32-2
TlF	Thallium(i) Fluoride	7789-27-7
TlI	Thallium(i) Iodide	7790-30-9
TlIO3	Thallium(i) Iodate	14767-09-0
TlI3	Thallium(iii) Iodide	
TiI4	Titanium(iv) Iodide	7720-83-4
TlNO3	Thallium(i) Nitrate	10102-45-1
TlOH	Thallium(i) Hydroxide	12026-06-1
TlPF6	Thallium(i) Hexafluorophosphate	60969-19-9
TlSCN	Thallium Thiocyanate	3535-84-0
Tl2MoO4	Thallium(i) Orthomolybdate	
Tl2SeO3	Thallium(i) Selenite	
Tl2TeO3	Thallium(i) Tellurite	
Tl2WO4	Thallium(i) Orthotungstate	
Tl3As	Thallium(i) Arsenide	
UC2	Uranium Carbide	
UF4	Uranium(iv) Fluoride	10049-14-6
UF6	Uranium(vi) Fluoride	7783-81-5
UO2	Uranium Dioxide	1344-57-6
UO3	Uranium Trioxide	1344-58-7
U3O8	Triuranium Octoxide	1344-59-8
UO2(NO3)2	Uranyl Nitrate	10102-06-4
VBr2	Vanadium(ii) Bromide	
VBr3	Vanadium(iii) Bromide	13470-26-3
VCl2	Vanadium(ii) Chloride	10580-52-6
VCl3	Vanadium(iii) Chloride	7718-98-1
VSO5	Vanadium Oxysulfate	27774-13-6
V2O3	Vanadium(iii) Oxide	1314-34-7
V2O5	Vanadium Pentoxide	1314-62-1
V2O7	Divanadate Ion|Pyrovanadate Ion	
WBr2	Tungsten(ii) Bromide	13470-10-5
WBr3	Tungsten(iii) Bromide	15163-24-3
WBr4	Tungsten(iv) Bromide	14055-81-3
WBr5	Tungsten(v) Bromide	13470-11-6
WBr6	Tungsten(vi) Bromide	13701-86-5
W(CO)6	Tungsten(vi) Carbonyl	14040-11-0
WCl2	Tungsten(ii) Chloride	13470-12-7
WCl3	Tungsten(iii) Chloride	20193-56-0
WCl4	Tungsten(iv) Chloride	13470-13-8
WCl5	Tungsten(v) Chloride	13470-14-9
WCl6	Tungsten(vi) Chloride	13283-01-7
WF4	Tungsten(iv) Fluoride	13766-47-7
WF5	Tungsten(v) Fluoride	19357-83-6
WF6	Tungsten(vi) Fluoride	7783-82-6
WI2	Tungsten(ii) Iodide	13470-17-2
WI4	Tungsten(iv) Iodide	14055-84-6
WOBr3	Tungsten(v) Oxytribromide	20213-56-3
WOBr4	Tungsten(vi) Oxytetrabromide	13520-77-9
WOCl3	Tungsten(v) Oxytrichloride	14249-98-0
WOCl4	Tungsten(vi) Oxytetrachloride	13520-78-0
WOF4	Tungsten(vi) Oxytetrafluoride	13520-79-1
WO2	Tungsten(iv) Oxide	12036-22-5
WO2Br2	Tungsten(vi) Dioxydibromide	13520-75-7
WO2Cl2	Tungsten(vi) Dioxydichloride	13520-76-8
WO2I2	Tungsten(vi) Dioxydiiodide	14447-89-3
WO3	Tungsten(vi) Oxide	1314-35-8
WO4	Tungstate Ion	14311-52-5
WS2	Tungsten(iv) Sulfide	12138-09-9
WS3	Tungsten(vi) Sulfide	12125-19-8
WSe2	Tungsten(iv) Selenide	12067-46-8
WTe2	Tungsten(iv) Telluride	12067-76-4
W2C	Tungsten Carbide	12070-13-2
YAs	Yttrium Arsenide	12255-48-0
YB6	Yttrium Boride	12008-32-1
YBr3	Yttrium Bromide	13469-98-2
YC2	Yttrium Carbide	12071-35-1
YCl3	Yttrium Chloride	10361-92-9
YF3	Yttrium Fluoride	13709-49-4
YP	Yttrium Phosphide	12294-01-8
YSb	Yttrium Antimonide	12186-97-9
YVO4	Yttrium Vanadate	13566-12-6
Y2O3	Yttria|Yttrium Oxide	1314-36-9
Y2S3	Yttrium Sulfide	12039-19-9
YbBr2	Ytterbium(ii) Bromide	25502-05-0
YbBr3	Ytterbium(iii) Bromide	13759-89-2
YbCl2	Ytterbium(ii)chloride	13874-77-6
YbCl3	Ytterbium(iii) Chloride	10361-91-8
YbCl3 6H2O	Ytterbium(iii) Chloride Hexahydrate	19423-87-1
YbF2	Ytterbium(ii) Fluoride	15192-18-4
YbF3	Ytterbium(iii) Fluoride	13760-80-0
YbI2	Ytterbium(ii) Iodide	19357-86-9
YbI3	Ytterbium(iii) Iodide	13813-44-0
YbSe	Ytterbium(ii) Selenide	12039-54-2
YbSi2	Ytterbium(ii) Silicide	12039-89-3
Yb2O3	Ytterbium(iii) Oxide	1314-37-0
Yb2S3	Ytterbium(iii) Sulfide	12039-20-2
Yb2Se3	Ytterbium(iii) Selenide	12166-52-8
YbTe	Ytterbium(ii) Telluride	12125-58-5
Zn(AlO2)2	Zinc Aluminate	68186-87-8
Zn(AsO2)2	Zinc Arsenite	10326-24-6
ZnBr2	Zinc Bromide	7699-45-8
Zn(CN)2	Zinc Cyanide	557-21-1
ZnCO3	Zinc Carbonate	3486-35-9
Zn(C8H15O2)2	Zinc Caprylate	557-09-5
Zn(ClO3)2	Zinc Chlorate	10361-95-2
ZnCl2	Zinc Chloride	7646-85-7
ZnCr2O4	Zinc Chromite	12018-19-8
ZnF2	Zinc Fluoride	7783-49-5
Zn(IO3)2	Zinc Iodate	7790-37-6
ZnI2	Zinc Iodide	10139-47-6
ZnMoO4	Zinc Orthomolybdate	7783-20-2
Zn(NO2)2	Zinc Nitrite	10102-02-0
Zn(NO3)2	Zinc Nitrate	7779-88-6
Zn(NbO3)2	Zinc Metaniobate	
ZnO	Zinc(ii) Oxide|Zinc Oxide	1314-13-2
ZnO2	Zinc Peroxide	1314-22-3
Zn(OH)2	Zinc Hydroxide	20427-58-1
Zn(OH)4	Zincate Ion	
ZnS	Zinc Sulfide|Sphalerite	1314-98-3
Zn(SCN)2	Zinc Thiocyanate	557-42-6
ZnSO4	Zinc Sulfate	7733-02-0
ZnSb	Zinc Antimonide	12039-35-9
ZnSe	Zinc Selenide	1315-09-9
ZnSeO3	Zinc Selenite	13597-46-1
ZnSnO3	Zinc Stannate	12036-37-2
Zn(TaO3)2	Zinc Metatantalate	
ZnTe	Zinc Telluride	1315-11-3
ZnTeO3	Zinc Tellurite	
ZnTeO4	Zinc Tellurate	
ZnTiO3	Zinc Metatitanate	
Zn(VO3)2	Zinc Metavanadate	
ZnWO4	Zinc Orthotungstate	
ZnZrO3	Zinc Metazirconate	
Zn2P2O7	Zinc Pyrophosphate	7446-26-6
Zn2SiO4	Zinc Orthosilicate	13597-65-4
Zn3(AsO4)2	Zinc Arsenate	13464-44-3
Zn3As2	Zinc Arsenide	12006-40-5
Zn3N2	Zinc Nitride	1313-49-1
Zn3P2	Zinc Phosphide	1314-84-7
Zn3(PO4)2	Zinc Phosphate	7779-90-0
Zn3Sb2	Zinc Antimonide	
ZrB2	Zirconium Boride	12045-64-6
ZrBr4	Zirconium Bromide	13777-25-8
ZrC	Zirconium Carbide	12020-14-3
ZrCl4	Zirconium Tetrachloride	10026-11-6
ZrF4	Zirconium Fluoride	7783-64-4
ZrI4	Zirconium Iodide	13986-26-0
ZrN	Zirconium Nitride	25658-42-8
Zr(OH)4	Zirconium Hydroxide	14475-63-9
ZrO2	Zirconium Dioxide|Baddeleyite	1314-23-4
ZrO3	Zirconate Ion	
ZrP2	Zirconium Phosphide	12037-80-8
ZrS2	Zirconium Sulfide	12039-15-5
ZrSi2	Zirconium Silicide	12039-90-6
ZrSiO4	Zirconium Orthosilicate	10101-52-7
Zr3(PO4)4	Zirconium Phosphate	13765-95-2
